top_comment_id,top_comment_health,top_comment_frame,article_topic,mean_thread_health
85e3a57177744347b621a38de5c394ec,1,Economic,climate change,1.0
a026584bc64b484b9e5479dc49202e40,0,Other,climate change,1.0
951ea7b854054572981f5ac277dda10f,1,Other,climate change,0.5
bbc94e4d23bf44df9739caf99e082583,1,Political,climate change,1.0
1df6b2f8a9324df093b160f70ce153be,0,Other,climate change,1.0
8c3f0fd9d92543b8a2f1ede96cda1cd9,1,Fairness,climate change,1.0
4f736f9467854e40863d2235c222641d,1,Political,climate change,1.0
7ca87728020943999d5baf96f210f739,1,Other,climate change,1.0
482f4e1995914c848cbc84adf7f0edfd,1,Economic,climate change,1.0
3c2f42eebb954aa792255d0402b947b7,1,Economic,climate change,0.8
bf3c1f94d7e74e53bde51ba627d090ed,0,Economic,education,1.0
6fc5af6977484dafa7b621c5547fb8af,1,Political,education,0.0
b942baf66a304f139534e45cdd1d067f,1,Economic,education,1.0
0cb71bf68c9f4103afb5d37f330c7e65,1,Economic,education,0.6666666666666666
2bf19ce3f3f2449bb71db5a85b2039d3,1,Political,education,1.0
d9f57963e62542a2817b900b5b31cca8,1,Economic,education,1.0
9a55e868321040189dd2674f81898499,0,Political,education,0.75
99ed6c0f756d4a1db3aad48156308789,1,Political,education,0.0
dee1987ccf444f418a6a443303a810e1,1,Economic,education,1.0
ef3e3caf7e754fb7842f28121e5058f0,1,Political,education,0.9090909090909092
12d7cd9ddbbc476cbc956a2dc014d52c,0,Political,education,0.5
2394832d0524455f86d6bf029df5c01f,1,Economic,education,0.0
203560a07fa14acc8fa8b84c592ef5f8,1,Political,education,1.0
95bbab9b044f4fe182d74bf783cfe573,1,Political,education,1.0
6c0cc69070e24d138e00c520da345156,1,Economic,healthcare,1.0
85ca48340e8f4918b3202c1de2c98dce,1,Health,healthcare,1.0
57a63978f5044fa6b556c4e49b98065a,1,Economic,healthcare,1.0
cbfd4de9b83443ddb77203b749fdfa8d,0,Other,healthcare,0.5
b13c56a5c90840f08026998fddc3db34,1,Economic,healthcare,0.5
3c89781e75554a9cb2d5b2984eaee58b,1,Other,healthcare,1.0
640be56b175d4945850759b1ab90ec85,1,Economic,healthcare,1.0
cdaa76f54f494070b477f5928bda1301,1,Cultural,healthcare,0.3333333333333333
ef84459c8c99465aa49bc029dfe64704,1,Economic,healthcare,1.0
dd04901e839a4569a80a847d5a0ddd8a,1,Opinion,healthcare,1.0
4be89603665d4ce8a71f6a62747de8f6,1,Economic,healthcare,1.0
9598c44f78ee47ceb1d2af561999cfea,1,Economic,healthcare,1.0
95bc7fd6c98440efb80e775f04df472a,1,Other,healthcare,0.3333333333333333
a216f0a5a08a4f0fa0b3f4b0dde39715,1,Health,healthcare,0.5
48095ec3afbb44459e3719bdd0f37f10,1,Health,healthcare,1.0
03f4c9ca5c3c4adc8bd6cd5603e6ec68,1,Cultural,healthcare,1.0
efa8b9d1f44840249d093f46fd345fbd,1,Health,healthcare,0.8888888888888888
551394d160504c0084857c031dd3735a,1,Political,healthcare,1.0
7d81e6bb2420422291bd75e18d251bed,1,Other,healthcare,1.0
fb3e67afaab547d6bce04e29d82517bc,1,Economic,healthcare,0.9090909090909092
05d10f0a0c4543cfbdd528832176bcca,0,Economic,education,0.5
6fd2306b1fc1433584ac47d8ea0fee1d,1,Economic,education,1.0
ee976b3cbbfc4b29a85410b10b5b598e,1,Economic,education,0.5
2489f1540b704e6faf3a7aabbf433377,1,Opinion,education,0.75
0f9bae610ab7461ea67e08c1a95a8f3a,1,Political,education,1.0
8ebc97e60cce435cad7c520ce8932a4c,1,Economic,education,1.0
9c67314d9a0041fe9247ba68aff02338,1,Political,education,0.6666666666666666
05add0ae87c8411091f225ebc4b34ca2,1,Economic,education,1.0
2844d2e62509445290e176f79cceff11,0,Political,education,0.3333333333333333
ed7af26420f74baa9c67a436d14033b9,1,Cultural,education,1.0
fef7a9d7904541b68025b8ae0c6c66a5,1,Economic,education,1.0
2040338cf4ec4b9bb37906b2fa8f3c02,1,Political,education,0.6666666666666666
7fe863285bf94978b5b37314387ed297,1,Political,education,1.0
2f1183bb9d8b492299ef2ffc0b9046bf,1,Economic,education,1.0
af850a41e53e432a917b47dd8ff7b933,1,Economic,education,1.0
05c444492c834b2dba738d5895c7e148,1,Economic,education,1.0
0a154d79d8a6488dae726dfd24e37f0e,0,Economic,education,0.0
721d2586e859474e96e28d759a4a036f,0,Economic,education,0.8
51607462ac3e47c28ffa4b5198522dd3,1,Economic,education,1.0
8d99ecc32e694ebf98e9d16e2a3b6099,1,Economic,education,0.5
7f40d54d497443a4bfaba56e5d5f6a03,1,Other,education,1.0
bdaacb79b5334fc6b87b4a70c4b45644,1,Legality,education,0.0
50de205b6abd4c389e49341769209baa,1,Other,education,1.0
4a1d82f0280543469956b5917ae85f5f,1,Morality,education,0.25
eba3805df946422e9d9e01c9c0c4d04b,1,Economic,education,1.0
43c02c06ef874eeca9673c10614a944d,1,Other,education,0.5
661f83b5f8a24e0facbd6292047c32cb,1,Economic,education,1.0
ddf16cd607094da18aa4010b107f7e27,1,Economic,education,1.0
785c2b061bcc4b98b36383f2c38128ce,1,Political,education,1.0
83782f4be6e74226931ee8a16ca36145,1,Health,education,1.0
dfd0004ad76e456f86dbb4756cbe8891,1,Legality,education,0.0
b9c68ce75ada4f47aa60088abccb0af1,1,Other,education,0.25
